title_review,country,date,avp_badge,review_text
"
Parfait
",France,21 mars 2019,Achat vérifié,"

  Un cadeau d'anniversaire parfait pour mon amie !

"
"
Rien à redire
",France,16 août 2019,Achat vérifié,"

  Arrivé par coursier dans un parfait état.Je recommande.

"
"
Great Read
",France,9 décembre 2019,Achat vérifié,"

  Interesting and inspiring.

"
"
Qualité
",France,21 août 2020,Achat vérifié,"

  Très bonne qualité

"
"
Wonderfull
",France,9 juillet 2019,Achat vérifié,"

  Amazing book.

"
"
Excellent
",France,7 janvier 2019,Achat vérifié,"

  Quick delivery and very happy with the product.

"
"
Queen
",France,4 janvier 2019,Achat vérifié,"

  Michelle O. ❤️

"
"
Interesting book
",France,6 janvier 2019,NaN,"

  Bought the audible version. I started it 2 weeks ago and have not yet finished my listening (now i almost finished her period as a student at Princeton).In my opinion, it is a very interesting book, Mrs Obama is a great story teller. She shared her moments in a friendly way, her style is personal, approchable and easy-reading. Like always, her moral strength, her courage and her deep reflection touched me.Her childhood and her student life made me think about my own experience. Growing-up in a modest Chinese family, I was the first of the whole family to go to college and the only among all cousins who obtained a master degree. When i studied in a famous grand école in Paris, as a foreigner, i was unconfortable even afraid of the new environment, facing my new classmates who seemed more clever and whose families enjoyed much better conditions than the mine.  The questions such as where i belong to and where i am leading to haunted me during that time and even much later when i started to work in France. During the years, i was afraid of directing my thoughts on that, even the slightest made me react. Of course i never mentioned to anybody, neither my parents nor my husband. Now when Mrs. Obama unfold her experience as a black femal student in a prestigious university as Princetone, the similarity of the feeling of unease and difference gave me some release.  The mine was not isolated and there was no reason to hide.I recommend this book to every one who is curious of understanding Mrs Obama's life and who is just looking for interesting stories. There must be something which will catch your attention.For the moment i gave 4 starts, it is very possible that i upgrade the scole once i finish the book.

"
"
Read it, share it!
",France,17 novembre 2018,NaN,"

  It is empowering, moving, uplifting and motivating, especially in the troubled times we live in now, to read such a book. When she could have used this opportunity to get back at some people and settle score, Michelle Obama chose to share her story and her truth. I simply couldn't put this book down. By the time I finished the last page, I knew she would remain one of my favorite first ladies of all times.  So read this book, share it, pass it along. It is such a rare gem!

"
"
super intéressant et bien écrit (je recommande la version audible lue par l'auteure)
",France,28 mai 2019,NaN,"

  Alors j'ai écouté ce livre en version audio lu par Michelle Obama et c'était tellement bien (c'est une excellente lectrice aussi).On découvre son parcours, la place de sa famille, la vie quotidienne à la Maison Blanche, ses valeurs et j'ai vraiment beaucoup aimé. En audio, j'ai même eu les larmes aux yeux lorsque sa voix se brisait pour évoquer des moments difficiles.Le moins qu'on puisse dire, c'est qu'elle ne mâche pas ses mots et que parfois son célèbre mari en prend pour son grade car elle aborde aussi la question des femmes dans le contexte de sa position de première dame.En tout cas ça vaut le détour et c'est vraiment quelqu'un sur qui je pourrais prendre exemple en terme de manière de mener sa vie, vraiment une femme intéressante.(et sa biographie est bien mieux que celle de son mari, c'est dit).

"
"
Incroyable
",France,23 août 2020,NaN,"

  J'ai dévoré ce bouquin de Michelle Obama!!Non seulement, il est structuré, bien écrit et facile à lire. Le langage de Michelle Obama est naturel, ni soutenu ni familier, à l'inverse des livres de Barack Obama que j'ai trouvé beaucoup plus difficile à lire, me mettre dedans et comprendre.On en apprend pas mal sur ce petit bout de femme née du famille pas vraiment aisée et qui fait son chemin pour arriver avec son mari à la maison blanche. Elle nous livre quelques sentiments et situations cocasse ou de la vie de tous les jours au centre du pouvoir américain qui nous permettent de nous imaginer (de loin) ce que la vie peut donner là-bas.Une femme passionnée et dévouée, tant à sa famille qu'aux causes qu'elle soutient.Je le recommande à 100%

"
"
Thanks you for you service Madam
",France,13 novembre 2018,NaN,"

  A great book, who remember us how much we love you. Thanks you for everything.

"
"
thanks
",France,15 novembre 2018,NaN,"

  great book ! we would like to present you in the élection because Trump is a big poop. u are a wonderful women

"
"
Admirable and hopeful
",France,6 février 2019,NaN,"

  I’ve finished reading Michelle Obama’s memoir minutes before the start of President Trump’s state of the union address.  Obama’s hopefulness in the down deep goodness of much of our nation provides a stark contrast with the ugliness that I fear will hit our ears in a few minutes.  Overall, the book inspires, though I think Michelle Obama possesses a far livelier, richer personality than comes through in these pages.  I’d say, yes, all very good, but go ahead and let your hair down a little, Michelle Obama!

"
"
Becoming
",France,22 juillet 2019,NaN,"

  Première expérience avec un livre audio. C’est un peu long par moments, je me dis que je lirais plus vite. Mais le fait qu’il soit lu par l'auteur même est un plus. Les premiers chapitres sont un peu trop détaillés. L’histoire devient plus intéressante par la suite.

"
"
Superwoman qui veut partager ses super pouvoirs
",France,6 juillet 2019,NaN,"

  L’autre côté du miroir Obama - le sens des responsabilités et de la dignité, le travail acharné, l’absence totale d’arrogance, et un idéal exigeant du leadership méritocratique- on retrouve l’essentiel.

"
"
A avoir
",France,14 juillet 2019,NaN,"

  We love you mich

"
"
Génial
",France,31 décembre 2018,NaN,"

  J’adore.

"
"
Great!
",France,6 décembre 2018,NaN,"

  Love the sincerity of the book

"
"
auto portrait de Mme Obama
",France,6 juillet 2019,NaN,"

  très intéressant ,ont y découvre l'univers de la maison blanche les soirées . j'ai bien aimé . et vous? si vous ne l'avais pas luprofitez des soldes

"
"
Highly recommend it
",France,12 août 2019,NaN,"

  Great story read by the author.

"
"
Sincère, instructif.. passionnant!
",France,1 janvier 2019,NaN,"

  Un parcours inspirant, écrit simplement et avec une grande sincérité.. je l’ai reçu en cadeau et je l’ai offert à plusieurs femmes de mon entourage tant j’ai aimé le livre..

"
"
Good listening
",France,13 juillet 2019,NaN,"

  Cool to listen...

"
"
Très bon produit
",France,20 mai 2019,NaN,"

  Produit reçu dans les temps et comme neuf. Tout est parfait.

"
"
JC
",France,22 décembre 2018,NaN,"

  Awesome!

"
"
Un grand livre
",France,2 octobre 2019,Achat vérifié,"

  Il y a les bons livres. Et il y a les grands livres beaucoup plus rares. C'est dans la deuxième catégorie que se range l'ouvrage récent de Michelle Obama, personnalité pour laquelle j'avoue avoir un faible. Pourquoi est-ce un grand livre ? Parce qu'il a du souffle. Parce qu'il traite de sujets essentiels comme le désavantage compétitif des petites filles noires. Parce qu'il nous explique le prix qu'il faut payer quand on veut montre sur la plus haute marche. Et le difficile équilibre entre l'empathie pour les autres et le désir farouche de s'imposer.

"
"
Bonne lecture
",France,30 juillet 2019,Achat vérifié,"

  Bonne lecture sur la vie de michele et sa vision de sa vie a la maison blanche. C un livre tres personnelle qu'elle a ecrit

"
"
Awesome book
",France,30 octobre 2019,Achat vérifié,"

  Wonderfully written book by Michelle Obama first black lady who stepped into the White House with the first black president ever elected in the USA.

"
Disappointed,États-Unis,14 décembre 2018,Achat vérifié,"

  Slow and boring and self boasting.

"
Great Read!!,États-Unis,13 novembre 2018,Achat vérifié,"

  I read a lot of negative reviews, but I don’t understand why. I enjoyed reading her story from her perspective. Some parts made me sad; however, I’ll always view Michelle Obama as a role model.

"
Wonderful,Royaume-Uni,15 novembre 2018,Achat vérifié,"

  I thought I couldn't love this family more, but after reading this beautiful, moving story, I know that I and millions of others were so right to have faith in these genuinely good people. I am glad that Michelle gets to have her Barack back again, but oh, how very much they are missed - especially in contrast to what came after...

"
The Case for the Defense - Part 1,Royaume-Uni,14 février 2019,Achat vérifié,"

  Michelle and her husband accomplished and overcame a lot, even before they became the First Family. I think Obama's 2008 candidacy had a lot of energy and purpose. However, after he was in office, a lot of that energy dissipated and he failed to sufficiently differentiate himself from policies left down by his predecessors in many areas. What is good about Michelle's book is most of it does not focus on each and every cranny of every year in the Presidency. Most of it is her earlier life and events. The big events in the Presidency occupy very little space. I give this book one star because of the ending. Michelle clearly is very devoted and defensive of her husband and his achievements.As much as we may not like it or agree with it, political office holders normally pave the way for their successors (whether they intend to or not). Obama's choices paved the way for Trump to campaign and to win the Presidency, much like G W Bush's choices paved the way for Obama. Michelle is content to not interpret the results, but bash some of the electorate for not voting for a woman and for voting for someone she describes in insults. For a family that is normally revered for deep analysis of complicated issues, Michelle's writing style and choice of words on this was very disappointing and in my opinion, narrow-minded. Michelle comes across as believing America was best and meaningful when her husband was it's President. She has a hard time seeming to come to terms with the fact that people might make different choices or that she and her husband will have to leave behind the mantle of being responsible for the nation, in their respective areas.It was a disappointing and short handed book in my mind. Fans of the Obama's will find much to enjoy, I am sure. But those who enjoy deep analysis of history, will be disappointed. I hope that Barrack's book will be more insightful and deeper (The Case for the Defense - Part 2).

"
Tedious to read,Royaume-Uni,24 mai 2020,Achat vérifié,"

  Of course, many people want to know about Michelle Obama.  However, I was disappointed by this book.  She writes so much about her ambition, she really got on my nerves with that.  All the details where and with whom she worked on what, it was really tedious, I must say.  There are many interesting bits about her private life, too.  I loved reading about her childhood.But it's not my favourite book.  When I had finished it I was glad to get rid of it and pass it on to a friend.

"
Everyone has a story to tell and Michelle Obama delivers a great one.,États-Unis,13 novembre 2018,Achat vérifié,"

  A window into her life so far, Michelle Obama gives us endearing, insightful, honest memories. From growing up in a working class household in Chicago, to leaving the White House residence, her story is unique and thought provoking. If you admire and respect the Obamas, you will like this book.

"
Ausdrucks- und Inhaltsstark . . . . trotzdem (oder gerade deshalb) super zu lesen,Allemagne,18 novembre 2018,Achat vérifié,"

  Michelle Obama authentisch wie eh und je !  Obwohl im Buch naturgemäß ihre optische / mimische Präsenz fehlt, schafft sie es durch Ausdruck, Inhalt, Tiefe und dem ihr eigenen gehörigen Schuß Humor und Selbstironie auf jeder Seite des Buches total präsent zu sein.  Kein blablabla, kein ""ach-bin-ich-wichtig"" - pure Ehrlichkeit, Intelligenz und Reflektion ihres bisherigen Werdeganges . . . . . allerdings durchaus gepaart mit Reflektion der amerikanischen (und oft globalen) Wirklichkeit.  Das Buch hat mir nicht nur beim Lesen wissenswerte Einblicke und viel Freude bereitet, vielmehr bin ich sicher, dass es auch mein zukünftiges Leben beeinflussen wird.PS:  Schlechte ""Rezension"" für reine Auslieferungsprobleme, die absolute nichts - aber auch gar nichts - mit dem Inhalt des betreffenden Buches zu tun haben sollten von Amazon vielleicht in einer Sonderrubrik gesammelt werden.  Weder das Buch noch interessierte Rezension-Leser haben einen solchen Schwachsinn verdient.  Wenn ein Buch durchnässt ankommt, sollte eventuell der betreffende Briefkasten / Ablageort negativ rezensiert werden, nicht aber das Buch ! ! !

"
It is a book that should be read by every generation to know that anything is possible.,Inde,11 décembre 2018,Achat vérifié,"

  When you read a book, a good book, you get fully engrossed in the lives of the characters. It is like a short but powerful relationship that you have with them. When you pick up a memoir by Michelle Obama, there is a lot of expectation baggage at the beginning itself.I am a fan of team Obama. I have seen all possible YouTube videos of them; speeches, campaign footage, interviews, dances, karaoke performances, dinners, street interactions; I follow them on social media and a couple of years back I read Dreams From My Father by Barack Obama which was quite insightful as well. Despite these impressions already formed, this book made me admire and respect them even more.In her memoir, Michelle Obama talks about the experiences in her life that made her what she is. How she became.While political experiences are obviously a part of her narration, she does not write about politics or advocate a side. Instead, she writes about values, people, reactions, thoughts. It is really a mesmerizing story about a remarkable woman. Her not-so-privileged childhood, her struggle to balance work and motherhood and her life as the First Lady. She writes about the achievements and failures in all aspects of her life. She talks about larger issues like discrimination as well as the supposedly little things like family and love which make a difference. Surprisingly, it is relatable.The writing is eloquent, honest and simple. It feels intimate and warm. It is a story of a woman of character and strength.Some might say that good PR will ensure that this is how she is projected. I say. Read the book for the writing, the inspiration that comes from it. It is a book that should be read by every generation to know that anything is possible. That you must own your story. That you matter.

"
"Becoming: an uplifting, memoir grounded in reality",Canada,21 novembre 2018,Achat vérifié,"

  Unlike most autobiographies, Ms. Obama opens, her heart, her fears, her worries, but mostly her hopes for her family, country and world.While most political memoirs detail behind-the-scene, make-or-break deals, this book details the impact smaller actions can have on the local level. A very useful and timely reminder for those overwhelmed by the daily scourge of bad news.

"
An ordinary person who found herself on an extraordinary journey……..A book that strengthens you,Inde,3 janvier 2019,Achat vérifié,"

  For me, as for many others, the Obamas embodied kindness, decency, and -above all – intelligence, in sharp contrast to the (cough, cough) circus that followed them in the White House.I am neither American, nor of color, nor (God forbid) will I ever be involved in any political activities. Yet, like all my friends who have read “Becoming”, I am completely charmed by it, and by Michelle Obama. A lot has been said about the book and its appeal. You just cannot finish this book and just forget it; her story will probably stay with you for life. I would like to add my own little inputs below (in no particular order) as to why this book was one of the most wonderful books that I read this year (or any year), and why, like millions of people around the world, I find Michelle Obama’s story so powerful and uplifting.“Your story is what you have…It is something to own”A book can be beautifully written, but I don’t really care for it if it doesn’t touch my heart. And Becoming was a very, very emotional read. Here we have a lady who has lived in the White House for eight years, and who speaks with such pride and love about her working class parents, the cramped little apartment she spent her happy childhood in, in the poorer section of Chicago, about her relatives, all blue-collared, like her parents. This is who I am, she says, this my story. “I had nothing or I had everything. It depends on which way you want to tell it”. We can think of many women in her position who would perhaps underplay their background, hide some of the facts, but not a strong, direct, honest woman like her. It is this humility, the pride and the self-respect with which she shares her background with the rest of the world, which will touch you to the core. “…they (my friends in South Chicago), like me, were descended from slaves”Like Michelle points out, repeatedly, let us not forget for a minute her roots – that not too long ago, her forefathers were working as slaves in a country they were forcefully brought to, loaded like animals onto ships from Africa.  “I was the great-great-granddaughter of a slave named Jim Robinson, who was probably buried in an unmarked grave somewhere on a South Carolina plantation”.America might have got its first black President, but – a century and a half after the Civil War of 1865, and more than half a century after the Civil Rights Act of 1961 -  racial discrimination is still alive and kicking in that country.“I carried a history with me, and it wasn’t that of presidents of First Ladies…The struggles of Rosa Parks and Coretta Scott King were more familiar to me than that of Eleanor Roosevelt or Mamie Eisenhower”. Yes, I had to Google Rosa Parks, and Coretta King, and if the names are not familiar to you,  I suggest you do so as well, to understand what a long journey the Obamas have undertaken, and what she refers to as the “push and pull” of history.Her description of her Uncle Terry, who  had once been a Pullman porter, is particularly poignant, and will go straight to your heart “Years after retirement, Terry still lived in a state of numbed formality – impeccably dressed, remotely servile, never asserting himself in any way…It was as if he’d surrendered a part of himself as a way of coping”. I didn’t know what a Pullman porter was, and I again had to Google it. What I read had me in tears. It was too late for Uncle Terry, but not for the next generation of African-Americans, and not for his brave, intelligent, hardworking niece and nephew.The power of education, or “I will show you “Michelle reached where she did through sheer hard work and intelligence, and an enormous desire to make something of herself in life. This is perhaps the only right way to “become” what you want to be. “Education had been the primary instrument of change in my own life, my lever upward in the world”. “Strive” is an important word in Ms. Obama’s dictionary – perhaps the most important.Every schoolgirl (or boy) should be encouraged to read this book, because the lessons it impart are invaluable. It is also a book for parents to read, for the way in which Michelle and her brother were brought up by their parents is inspirational. Their parents treated them like adults, encouraged them to take their own decisions, and constantly reiterated that – “you belong. You matter. I think highly of you.”A yin-and-yang duoIn Becoming, we gain a whole new perspective of Barack Obama; not the president, but the boyfriend, husband, father and son. We meet a man who is least interested in the rat race, or in any material trappings. What excites him, and what he is passionate about are books and ideas, especially ideas to make the world a better place - “Do we settle for the world as it is, or do we work for the world as it should be?”. Unlike Michelle, he is “hardwired for optimism”, and while she is a detail person, a box-checker, Barack is quite at home with “the unruliness of the world”. It was clear early on their relationship that “We were built differently”. Yet their relationship thrived, and when Barack’s aspirations became clear, she supported him, not because she thought he would win (“Barack was a black man in America…. I really didn’t think he could win”), but because she loved him. The rest is, of course, history.The end of Obama’s term, and the next occupantWhen she walks out (almost with relief, it seems) of the “most famous address” in the world, she begins a fresh journey – all over again. And that, perhaps, is what awes you and touches you most about her – that she doesn’t let her years as the FLOTUS define her, or restrict her in any way. While being a loving, supportive wife and mother, she could never be JUST Mrs. Obama, the wife of arguably the most powerful man in the world.  She was, and will always be, a person in her own right. A person who has strived all her life, and will continue to strive, to be the best she can be - constantly evolving, constantly reinventing herself.The White House was definitely not the end of the road for her – “you are left in many ways to find yourself again”. As is her nature, she makes no bones about the current occupant of the White House, expressing her opinion in a direct,  upfront manner. “..we were up against a bully, a man who among other things demeaned minorities and expressed contempt for POWs, challenging the dignity of our country with practically every utterance”.Becoming“Becoming” is about Michelle’s childhood, her Ivy league education, her career, her abiding love for her husband and children and her country, her years at the White house, but above all, it is about a woman who steadfastly holds on to her identity in spite of being married to the most powerful man in the world. She was never a “missus defined by her mister”, “At 54, I am still in progress, and I hope that I always will be”.It’s people like the Obamas who make America great. Not the bullies who are currently in power – they take America back to the dark ages. That, at least is my view; your views may be different – but hey, it’s a free world, isn’t it?Please hit the like button if you liked my review. It feels so good to know that there are people who are reading my reviews, and who believe in a better and fairer world. Thank you.

"
Not what is says on the tin,Royaume-Uni,25 mai 2019,Achat vérifié,"

  This product does not work at all. Got it for my mum for Christmas. She has read 90% and still looks nothing like Michelle Obama. Waste of money

"
Political & Personal Journey of Hope & Love.,Royaume-Uni,29 novembre 2018,Achat vérifié,"

  As a number of my fellow reviewers have already outlined in considerable detail the contents of this engaging book, I'm simply going to summarise the main strengths for me.  Primarily I thought this autobiography balanced the political and the personal aspects of Michelle's life in an honest & insightful way.  The curve of the political is inevitably mirrored in her family life, and she is very good at exploring the effects upon her daughters as well as her husband, 'warts and all'.  The voices and characters of her girls are allowed time to come through, as well as her impressive husband.The photos chosen to illustrate her book reflect a similar balance of family and political life, and many of the informal shots have a real sense of love shining out at the reader, which I found very moving. My only gripe is the four (yes, really) pages of acknowledgements she makes, where she really seems to lose her ability to be selective.  However, that's a tiny moan within a very impressive and moving testament. It does give you hope, especially in our increasingly blinkered & bigoted world.

"
"Wow, the book is a triumph!",Canada,16 novembre 2018,Achat vérifié,"

  Absolutely loved each and every word.  Michelle is so relatable and handled her time as First Lady with such grace.  She is an inspiration for all women.

"
"Thoughtful, compassionate and honest.",Royaume-Uni,18 novembre 2018,Achat vérifié,"

  I couldn't put it down. No, that's not true, but I did pick it up again as soon as I could. This is an eloquently written memoir by a woman who found herself in quite a unique situation and, as she done throughout her life, handled it with intelligence, grace, and compassion. Michelle Obama is a remarkable as all the other reviewers here recognise. Well, all but one who is clearly a Trump supporter among other vile things. I can't recommend this book too highly.

"
Boring and annoying,Royaume-Uni,2 janvier 2020,Achat vérifié,"

  I read half of it and was fed up, got to the point where she claimed buying winter hats for her daughter was a challenge and gave up. Thousands of parents have much more serious problems and don't feel the need to write books about them. You may perhaps like this book if you like Michelle Obama herself, but to me it was just complaining of a wealthy woman that she's not wealthy enough.

"
A beautiful account,Royaume-Uni,14 novembre 2018,Achat vérifié,"

  This book is everything I hoped it would be. She tells her story so beautifully.

"
Absolutely phenomenal,Canada,22 novembre 2018,Achat vérifié,"

  A very down to earth story, which explains the growth of a woman so many of us look up to.She doesn't shy away from the truth of her life, or the truth of her feelings.Could not put the book down and found myself thinking about it even as I worked.

"
Superb,Canada,23 novembre 2018,Achat vérifié,"

  I highly recommend this book to anyone who is interested in politics and the formidable Obama family. They are models of dignity and dedication. An inspiration to all Americans. Thank you for your story.

"
You don't get much info,Royaume-Uni,26 janvier 2019,Achat vérifié,"

  You don't learn much it like she looking back with rose tainted glasses

"
